=== SMOKE TRACE (forensic) ===
simulation_id=293
cwd=C:\Users\chron\CURSOR-PROJECTS\AI-IDE\neon-vs-src
smoke_path=C:\Users\chron\CURSOR-PROJECTS\AI-IDE\neon-vs-src\smoke-test\293
SOVEREIGN_LOGIC_MODEL=qwen3.6:27b-q4_K_M
SOVEREIGN_SPEED_MODEL=gemma4:e2b-it-q4_K_M
SOVEREIGN_PEER_GATE=1
SOVEREIGN_SMOKE_FAST=0
SOVEREIGN_INCREMENTAL_CODEGEN=
resolved_incremental_codegen=on
resolved_incremental_symbols_per_pass=3
resolved_incremental_rough_passes_max=2
resolved_incremental_react_steps_per_symbol=12
resolved_vram_bytes=25507659776
resolved_edit_lines_max_span=48
resolved_edit_lines_flesh_max_span=48
resolved_edit_lines_micro_max_span=4
resolved_sdk_react_failure_prune_after=3
resolved_sdk_per_file_token_soft_cap=12000
resolved_read_file_whole_max_lines=48
resolved_read_file_chunk_window_lines=32
resolved_file_repair_max_passes=12
resolved_file_repair_react_steps=8
resolved_surgical_patch_max_chars=1536
SOVEREIGN_INTEGRATION_GATE=1
SOVEREIGN_SMOKE_FULL_PIPELINE=
smoke_integrity_profile=integrity
integration_gate_enabled=1
SOVEREIGN_VRAM_SWAP_NEURAL_IDLE_SEC=600
SOVEREIGN_SMOKE_SKIP_VRAM_BARRIER=
SOVEREIGN_SMOKE_ARCHIVE=C:\Users\chron\CURSOR-PROJECTS\AI-IDE\neon-vs-src\smoke-test\293
resolved_crucible_peer_gate=on
resolved_logic_model=qwen3.6:27b-q4_K_M
resolved_speed_model=gemma4:e2b-it-q4_K_M
residency_mode=sequential
resolved_max_concurrency=1
residency_probe_ok=0
residency_probe_notes=env_pinned
num_ctx_logic=4096
num_ctx_speed=4096
vram_budget_bytes=0
vram_estimated_need_bytes=0
ollama_managed_port=11435
Neon hot-swap: evict/lock are gated; see startup.log for [GOVERNOR]/[SWARM] lines.
Developer path (default): local offline operator loop — Reason+Act with REAL tool execution (read/write/execute); same doctrine as Neon Sovereign readme (agent product, not chat-only).
SDK path: SOVEREIGN_SDK_SINGLE_SHOT unset/0 => planReact (multi-step tools; incremental tasks may still force ReAct per autonomous_agent_impl.cpp).
SOVEREIGN_REACT_MAX_STEPS: unset/0/unlimited = no cap; else 4..50M bounds multi-step ReAct.
SOVEREIGN_REPO_ROOT=<dir> pins smoke-test under <dir>/smoke-test .
SOVEREIGN_SMOKE_TIMEOUT_SEC=<300-604800|0> idle stall budget (sec); default 3600; timer pauses while blackboard has active tasks. 0 or unlimited = wait until done.
SOVEREIGN_ARCHITECT_ASK_TIMEOUT_SEC=<120-7200> Logic-tier DAG wait per Architect task (default 1800).
SOVEREIGN_PROMPT_TIMEOUT_SEC=<30-7200> WinHTTP/Ollama wall clock per inference (default 1800; smoke integrity 1800 / fast 600 when SOVEREIGN_SMOKE_ARCHIVE is set unless this env overrides). Hung streams burn the full interval — see startup.log [GATEWAY] exceeded wall clock.
SOVEREIGN_SHADOW_LSP_HEADERS=0 skips LSP on include/*.hpp during smoke (bracket preflight only; default off in integrity smoke archives).
SOVEREIGN_CRUCIBLE_AUTO_REPAIR_ROUNDS=<1-32> inner repair attempts per submit_patch before swarm retry (default 8).
SOVEREIGN_CRUCIBLE_MAX_INNER_TOTAL=<1-512|0> per-task-id cumulative inner rounds across submit_patch calls (default 56 when SOVEREIGN_SMOKE_ARCHIVE is set; 0 = unlimited).
SOVEREIGN_CRUCIBLE_AUTHOR_REVIEW_PASSES=<0-8> author self-review passes before peer/Sentinel (integrity default 2).
SOVEREIGN_SMOKE_DEBUG_BLOB_MAX=<512-262144> caps smoke_debug.ndjson blob payloads (default 8192).
SOVEREIGN_SHADOW_CPP_TOOLCHAIN=auto|wsl|msvc — C++ shadow compile tries WSL g++ then MSVC vcvars cl on Windows.
SOVEREIGN_VCVARS_BAT=<path\\vcvars64.bat> overrides MSVC shadow detection (also probed at startup via vswhere).
SOVEREIGN_WSL_DISTRO=<name> pins the default WSL distro for agent tools (else Ubuntu, * default, first Linux).
SOVEREIGN_OLLAMA_NUM_PREDICT_LOGIC=<256-32768> caps Logic-tier generation tokens (default 8192; Architect DAG).
SOVEREIGN_PEER_GATE=0 disables Speed-tier peer review before Sentinel (integrity default: peer gate on).
SOVEREIGN_SMOKE_FAST=1 disables peer gate, integration link, and heavy shadow compile.
SOVEREIGN_SKIP_EXEC_MEETINGS=1 skips CEO/CPO/CTO inference hops (mandate_meetings.json not produced).
staff_mail.jsonl — NDJSON mirror of Staff Mail (CEO briefings + staff_mail_post tool); headless smoke exits before the UI event loop, so this file is the archive of operator-facing mail.
common_room.jsonl — NDJSON mirror of the shared software-house common room (SwarmChat + common_room_post + blackboard lifecycle); headless smoke archives team chat here.
agent_comms.jsonl — unified NDJSON log of common_room + DM traffic (also SOVEREIGN_AGENT_COMMS_LOG). SOVEREIGN_DM_MODERATION=1 holds new DMs pending until Architect dm_moderation_resolve.
Crucible peer/Sentinel/shadow cycle counters: [PIPELINE_METRICS] each poll; pipeline_telemetry.json overwritten each audit (partial) and again at terminal (final).
smoke_debug.ndjson — thread-safe NDJSON stream (Architect raw LLM + DAG node submits, blackboard, Crucible inner rounds / gates / commits). dag_malform.ndjson — Architect DAG parse/shape failures only.
SOVEREIGN_SMOKE_AUDIT_INTERVAL_SEC=<1-120> cadence for full task histogram + [PIPELINE_METRICS] block (default 5).
SOVEREIGN_SMOKE_TICK_LOG=1|true — append smoke_poll_tick each simulated second (very verbose).
SOVEREIGN_VRAM_SWAP_NEURAL_IDLE_SEC=<60-7200> max wait (sec) for neural drain before Logic unload at Sentinel barrier; headless smoke defaults 600 if unset (0 = wait forever, can wedge if Ollama hangs).
SOVEREIGN_SMOKE_SKIP_VRAM_BARRIER=1 — skip Logic/Speed VRAM evict+lock when both tiers fit in VRAM; unset/0 keeps the barrier for sequential residency on tight GPUs.
[0s] [SOFTWARE_HOUSE] Arch=planning Dev=coding Sent=idle Forge=idle QA=idle Peer=idle | [PIPELINE] stage=swarm_execution | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=1 Dev=1 Sent=0 | inference_slots=1/1 gateway_bg=1 sdk_active=1 tasks_checked_out=2 accept=1 | [HISTOGRAM] tasks total=2 Pending=0 DepBlocked=0 Active=2 (InProg=2 PeerReview=0 Shadow=0) Completed=0 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1875s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1880s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1885s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1890s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1895s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1900s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1905s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1910s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1915s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1920s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1925s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1930s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1935s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1940s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1945s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1950s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1955s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1960s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1965s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1970s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1975s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1980s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1985s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1990s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[1995s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[2000s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[2005s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[2010s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
[2015s] [SOFTWARE_HOUSE] Arch=done Dev=done Sent=idle Forge=done QA=idle Peer=idle | [PIPELINE] stage=output_verification | metrics={"classroom_peer":0,"commits":0,"crucible_inner_rounds_started":0,"peer_gate_runs":0,"sentinel_audits":0,"shadow_compile_fail":0,"shadow_fail":0,"shadow_lsp_fail":0,"shadow_ok":0,"shadow_toolchain_abort":0} | [GOVERNOR] lanes Arch=0 Dev=0 Sent=0 | inference_slots=0/1 gateway_bg=0 sdk_active=1 tasks_checked_out=0 accept=1 | [HISTOGRAM] tasks total=6 Pending=0 DepBlocked=0 Active=0 (InProg=0 PeerReview=0 Shadow=0) Completed=6 Stalled=0 OnHold=0 Other=0 SdkActive=1
